,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8
2016-5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-6,0,474,359,228,192,227,230,107,140,179,153,117,98,95,97,20
2016-7,0,0,181,81,41,40,30,17,16,17,11,6,10,13,12,0
2016-8,0,0,0,132,315,372,283,142,255,225,207,164,163,155,137,28
2016-9,0,0,0,0,427,570,323,162,198,107,103,94,132,149,123,27
2016-10,0,0,0,0,0,192,262,165,210,182,134,120,140,135,127,26
2016-11,0,0,0,0,0,0,812,537,786,721,668,554,425,401,378,78
2016-12,0,0,0,0,0,0,0,101,121,73,76,40,74,63,44,7
2017-1,0,0,0,0,0,0,0,0,278,230,211,155,165,166,196,31
2017-2,0,0,0,0,0,0,0,0,0,238,225,153,170,134,163,38
2017-3,0,0,0,0,0,0,0,0,0,0,402,233,231,165,152,42
2017-4,0,0,0,0,0,0,0,0,0,0,0,224,292,345,286,62
2017-5,0,0,0,0,0,0,0,0,0,0,0,0,824,980,1022,202
2017-6,0,0,0,0,0,0,0,0,0,0,0,0,0,814,820,189
2017-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748,184
2017-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
