,orderedM3,ordered3,ordered2,ordered1,orderedIP_Week,orderedIP_1M,orderedIP_2M,orderedIP_6M,norderedIP_6M
0,affinitas,24-7 entertainment,antihero,ahoy,applause,24-7 entertainment,care.com,abellio,ahoy
1,airbnb,abellio,contentful,amorelie pop up,bas kundenservice,affinitas,casper,airbnb,amorelie pop up
2,amorelie,deutsche bank,gamewheel,b-to-v,book a tiger ,audible ,endocode,amorelie,avuba
3,applause,dhh popup,goeuro,babbel popup,dojo madness,companisto,flaconi,antihero,b-to-v
4,audible ,kpmg (mk),jovoto,bank für sozialwirtschaft,ehealth medidate,data artisans,global public policy,babbel popup,bank für sozialwirtschaft
5,avuba,nu3,metahaus,berlin talent summit ,empaua,freshdesk,kpmg (mk),berlin talent summit ,blinkist
6,bas kundenservice,productive mobile,metro c&c,camp group,exozet,h&p service,liveintent,camp group,class method
7,blinkist,rheingold,microtool,cortado,ey friedrichstrasse,horeca,utb projektmanagement,career foundry,connor murphy
8,book a tiger ,sygns,newstore,deluxe distribution,financefox,hyazinth - l,wayfair (alboin),cortado,contentful
9,care.com,,novoda,endocode,glispa,kiwi.ki,whitematter labs,deluxe distribution,cookies
10,career foundry,,optiopay,eventbrite,immokey (mahren ii),kontist,zalando,deutsche bank,dcmn
11,casper,,orderbird,flaconi,lofelt,liqid,,digital performance,delivery hero
12,class method,,rheingau,globis,mahren immobilien,moia,,gefta,dhh popup
13,companisto,,spryker,interact,mediamath,momox,,glispa (individuals),eventbrite
14,connor murphy,,teambay,kpmg,metro techstars retail 2017,plinga,,global prairie,gamewheel
15,cookies,,,kpmg (bk),orgos,sauce labs,,goeuro,globis
16,data artisans,,,melag,shiver nebula,springest germany,,hoard,incent
17,dcmn,,,mindspace popup,smava ff,trinavis,,hyazinth - a,interact
18,delivery hero,,,moia,smava ks,undconsorten,,kiwi.ki (individuals),jovoto
19,digital performance,,,outfittery popup,spryker,wikimedia,,klickrent,kpmg
20,dojo madness,,,print peter,vice media,,,kpmg (bk),melag
21,ehealth medidate,,,rainmaking loft ,wayfair (kop),,,legalbase,metro
22,empaua,,,soundcloud,,,,lesson nine (babbel),mindspace popup
23,exozet,,,trade machines,,,,metahaus,moviepilot
24,ey friedrichstrasse,,,webedia,,,,metro c&c,newstore
25,financefox,,,wikimedia,,,,microtool,novoda
26,freshdesk,,,wooga,,,,mindspace,optiopay
27,gefta,,,wooga popup,,,,move24,orderbird
28,glispa,,,,,,,newstore (individuals),print peter
29,glispa (individuals),,,,,,,nu3,productive mobile
30,global prairie,,,,,,,outfittery,rainmaking loft 
31,global public policy,,,,,,,outfittery popup,rheingau
32,h&p service,,,,,,,shopkick,rheingold
33,hoard,,,,,,,sygns,solucionis
34,horeca,,,,,,,techstars berlin,soundcloud
35,hyazinth - a,,,,,,,thesis solutions,teambay
36,hyazinth - l,,,,,,,trade machines,teamleader
37,immokey (mahren ii),,,,,,,truffls,techstars program
38,incent,,,,,,,webedia,wework hm popup
39,kiwi.ki,,,,,,,wework hm,wework pp
40,kiwi.ki (individuals),,,,,,,wooga,wework pp popup
41,klickrent,,,,,,,wooga popup,wunderflats
42,kontist,,,,,,,zanox,
43,legalbase,,,,,,,,
44,lesson nine (babbel),,,,,,,,
45,liqid,,,,,,,,
46,liveintent,,,,,,,,
47,lofelt,,,,,,,,
48,mahren immobilien,,,,,,,,
49,mediamath,,,,,,,,
50,metro,,,,,,,,
51,metro techstars retail 2017,,,,,,,,
52,mindspace,,,,,,,,
53,momox,,,,,,,,
54,move24,,,,,,,,
55,moviepilot,,,,,,,,
56,newstore (individuals),,,,,,,,
57,orgos,,,,,,,,
58,outfittery,,,,,,,,
59,plinga,,,,,,,,
60,sauce labs,,,,,,,,
61,shiver nebula,,,,,,,,
62,shopkick,,,,,,,,
63,smava ff,,,,,,,,
64,smava ks,,,,,,,,
65,solucionis,,,,,,,,
66,springest germany,,,,,,,,
67,teamleader,,,,,,,,
68,techstars berlin,,,,,,,,
69,techstars program,,,,,,,,
70,thesis solutions,,,,,,,,
71,trinavis,,,,,,,,
72,truffls,,,,,,,,
73,undconsorten,,,,,,,,
74,utb projektmanagement,,,,,,,,
75,vice media,,,,,,,,
76,wayfair (alboin),,,,,,,,
77,wayfair (kop),,,,,,,,
78,wework hm,,,,,,,,
79,wework hm popup,,,,,,,,
80,wework pp,,,,,,,,
81,wework pp popup,,,,,,,,
82,whitematter labs,,,,,,,,
83,wunderflats,,,,,,,,
84,zalando,,,,,,,,
85,zanox,,,,,,,,
