Date,Day,Customer,Paying Orders,DateNumerical
2017-01-09 00:00:00,mon,hyazinth - l,7.0,736338
2017-01-10 00:00:00,tue,hyazinth - l,2.0,736339
2017-01-11 00:00:00,wed,hyazinth - l,4.0,736340
2017-01-12 00:00:00,thu,hyazinth - l,3.0,736341
2017-01-13 00:00:00,fri,hyazinth - l,2.0,736342
2017-01-16 00:00:00,mon,hyazinth - l,1.0,736345
2017-01-17 00:00:00,tue,hyazinth - l,1.0,736346
2017-01-18 00:00:00,wed,hyazinth - l,1.0,736347
2017-01-19 00:00:00,thu,hyazinth - l,3.0,736348
2017-01-20 00:00:00,fri,hyazinth - l,2.0,736349
2017-01-23 00:00:00,mon,hyazinth - l,3.0,736352
2017-01-24 00:00:00,tue,hyazinth - l,1.0,736353
2017-01-25 00:00:00,wed,hyazinth - l,1.0,736354
2017-01-26 00:00:00,thu,hyazinth - l,5.0,736355
2017-01-27 00:00:00,fri,hyazinth - l,2.0,736356
2017-02-03 00:00:00,fri,hyazinth - l,4.0,736363
2017-02-06 00:00:00,mon,hyazinth - l,10.0,736366
2017-02-13 00:00:00,mon,hyazinth - l,9.0,736373
2017-02-20 00:00:00,mon,hyazinth - l,11.0,736380
2017-02-27 00:00:00,mon,hyazinth - l,11.0,736387
2017-03-06 00:00:00,mon,hyazinth - l,8.0,736394
2017-03-13 00:00:00,mon,hyazinth - l,6.0,736401
2017-03-20 00:00:00,mon,hyazinth - l,9.0,736408
2017-03-27 00:00:00,mon,hyazinth - l,4.0,736415
2017-04-03 00:00:00,mon,hyazinth - l,7.0,736422
2017-04-10 00:00:00,mon,hyazinth - l,9.0,736429
2017-04-24 00:00:00,mon,hyazinth - l,7.0,736443
2017-05-08 00:00:00,mon,hyazinth - l,6.0,736457
2017-05-15 00:00:00,mon,hyazinth - l,8.0,736464
2017-05-22 00:00:00,mon,hyazinth - l,5.0,736471
2017-05-29 00:00:00,mon,hyazinth - l,3.0,736478
2017-06-12 00:00:00,mon,hyazinth - l,5.0,736492
2017-06-19 00:00:00,mon,hyazinth - l,6.0,736499
2017-06-26 00:00:00,mon,hyazinth - l,4.0,736506
2017-07-03 00:00:00,mon,hyazinth - l,5.0,736513
2017-07-10 00:00:00,mon,hyazinth - l,6.0,736520
